,positive_value,index,k
312,50.26,133.0,2.0
313,44.17,134.0,2.0
314,50.99,135.0,2.0
315,48.92,136.0,2.0
316,47.1,137.0,2.0
317,49.49,138.0,2.0
318,51.21,139.0,2.0
319,43.48,140.0,2.0
320,47.77,141.0,2.0
321,47.36,142.0,2.0
322,45.63,143.0,2.0
323,53.06,144.0,2.0
324,46.3,145.0,2.0
325,46.29,146.0,2.0
326,50.65,147.0,2.0
327,45.36,148.0,2.0
328,50.66,149.0,2.0
329,59.46,150.0,2.0
330,54.49,151.0,2.0
331,51.28,152.0,2.0
332,48.62,153.0,2.0
333,49.82,154.0,2.0
334,39.63,155.0,2.0
335,46.68,156.0,2.0
336,35.97,157.0,2.0
337,46.67,158.0,2.0
338,42.62,159.0,2.0
339,53.96,160.0,2.0
340,45.79,161.0,2.0
341,53.67,162.0,2.0
342,52.96,163.0,2.0
343,54.5,164.0,2.0
344,45.18,165.0,2.0
345,48.5,166.0,2.0
346,42.47,167.0,2.0
347,25.65,168.0,2.0
348,48.07,169.0,2.0
349,42.25,170.0,2.0
350,52.45,171.0,2.0
351,49.72,172.0,2.0
352,52.07,173.0,2.0
353,51.58,174.0,2.0
354,43.64,175.0,2.0
355,50.29,176.0,2.0
356,43.77,177.0,2.0
357,55.48,0.0,3.0
358,62.16,1.0,3.0
359,57.44,2.0,3.0
360,56.89,3.0,3.0
361,55.12,4.0,3.0
362,53.77,5.0,3.0
363,56.94,6.0,3.0
364,49.06,7.0,3.0
365,59.32,8.0,3.0
366,43.36,9.0,3.0
367,55.74,10.0,3.0
368,53.81,11.0,3.0
369,52.56,12.0,3.0
370,55.58,13.0,3.0
371,52.29,14.0,3.0
372,50.88,15.0,3.0
373,55.14,16.0,3.0
374,54.78,17.0,3.0
375,42.35,18.0,3.0
376,54.82,19.0,3.0
377,52.48,20.0,3.0
378,53.35,21.0,3.0
379,49.89,22.0,3.0
380,42.97,23.0,3.0
381,47.39,24.0,3.0
382,54.34,25.0,3.0
383,57.86,26.0,3.0
384,54.33,27.0,3.0
385,50.82,28.0,3.0
386,57.36,29.0,3.0
387,43.24,30.0,3.0
388,57.31,31.0,3.0
389,51.85,32.0,3.0
390,57.63,33.0,3.0
391,56.51,34.0,3.0
392,51.67,35.0,3.0
393,56.08,36.0,3.0
394,52.49,37.0,3.0
395,42.1,38.0,3.0
396,54.82,39.0,3.0
397,55.89,40.0,3.0
398,49.77,41.0,3.0
399,47.81,42.0,3.0
400,42.04,43.0,3.0
401,49.28,44.0,3.0
402,52.61,45.0,3.0
403,50.12,46.0,3.0
404,34.5,47.0,3.0
405,50.87,48.0,3.0
406,50.29,49.0,3.0
407,54.31,50.0,3.0
408,54.34,51.0,3.0
409,55.78,52.0,3.0
410,53.58,53.0,3.0
411,54.64,54.0,3.0
412,54.7,55.0,3.0
413,53.35,56.0,3.0
414,54.22,57.0,3.0
415,54.26,58.0,3.0
416,54.81,59.0,3.0
417,52.92,60.0,3.0
418,53.39,61.0,3.0
419,52.37,62.0,3.0
420,48.45,63.0,3.0
421,50.27,64.0,3.0
422,45.16,65.0,3.0
423,48.55,66.0,3.0
424,46.72,67.0,3.0
425,47.79,68.0,3.0
426,50.35,69.0,3.0
427,45.27,70.0,3.0
428,46.38,71.0,3.0
429,49.36,72.0,3.0
430,47.82,73.0,3.0
431,46.8,74.0,3.0
432,54.91,75.0,3.0
433,48.95,76.0,3.0
434,46.04,77.0,3.0
435,40.75,78.0,3.0
436,44.05,79.0,3.0
437,50.37,80.0,3.0
438,53.45,81.0,3.0
439,51.53,82.0,3.0
440,43.8,83.0,3.0
441,39.4,84.0,3.0
442,44.77,85.0,3.0
443,51.12,86.0,3.0
444,49.81,87.0,3.0
445,45.26,88.0,3.0
446,56.72,0.0,4.0
447,57.32,1.0,4.0
448,54.67,2.0,4.0
449,54.85,3.0,4.0
450,53.87,4.0,4.0
451,58.24,5.0,4.0
452,51.15,6.0,4.0
453,49.62,7.0,4.0
454,54.78,8.0,4.0
455,52.13,9.0,4.0
456,52.58,10.0,4.0
457,52.59,11.0,4.0
458,43.15,12.0,4.0
459,54.53,13.0,4.0
460,50.74,14.0,4.0
461,46.75,15.0,4.0
462,54.19,16.0,4.0
463,57.71,17.0,4.0
464,53.35,18.0,4.0
465,56.32,19.0,4.0
466,47.44,20.0,4.0
467,53.86,21.0,4.0
468,55.22,22.0,4.0
469,53.01,23.0,4.0
470,55.73,24.0,4.0
471,47.06,25.0,4.0
472,52.72,26.0,4.0
473,51.43,27.0,4.0
474,46.53,28.0,4.0
475,48.78,29.0,4.0
476,51.49,30.0,4.0
477,45.03,31.0,4.0
478,49.11,32.0,4.0
479,54.58,33.0,4.0
480,54.76,34.0,4.0
481,54.82,35.0,4.0
482,54.27,36.0,4.0
483,54.57,37.0,4.0
484,53.83,38.0,4.0
485,54.78,39.0,4.0
486,53.04,40.0,4.0
487,52.54,41.0,4.0
488,48.47,42.0,4.0
489,47.39,43.0,4.0
490,47.39,44.0,4.0
491,48.58,45.0,4.0
492,49.18,46.0,4.0
493,46.71,47.0,4.0
494,48.24,48.0,4.0
495,47.48,49.0,4.0
496,53.54,50.0,4.0
497,47.48,51.0,4.0
498,42.68,52.0,4.0
499,48.38,53.0,4.0
500,53.56,54.0,4.0
501,43.38,55.0,4.0
502,40.43,56.0,4.0
503,50.7,57.0,4.0
504,49.64,58.0,4.0
505,56.97,0.0,5.0
506,57.19,1.0,5.0
507,55.76,2.0,5.0
508,53.52,3.0,5.0
509,53.77,4.0,5.0
510,52.1,5.0,5.0
511,53.83,6.0,5.0
512,51.1,7.0,5.0
513,54.59,8.0,5.0
514,47.38,9.0,5.0
515,51.71,10.0,5.0
516,45.46,11.0,5.0
517,54.12,12.0,5.0
518,56.31,13.0,5.0
519,55.87,14.0,5.0
520,50.99,15.0,5.0
521,53.87,16.0,5.0
522,53.44,17.0,5.0
523,52.9,18.0,5.0
524,45.13,19.0,5.0
525,51.37,20.0,5.0
526,45.82,21.0,5.0
527,52.79,22.0,5.0
528,46.78,23.0,5.0
529,49.52,24.0,5.0
530,54.25,25.0,5.0
531,55.18,26.0,5.0
532,54.65,27.0,5.0
